F5	9606.ENSP00000354631
9606.ENSP00000362332
9606.ENSP00000261652
9606.ENSP00000295640
9606.ENSP00000261214
9606.ENSP00000301042
9606.ENSP00000263270
9606.ENSP00000349687
9606.ENSP00000292807
9606.ENSP00000204517
9606.ENSP00000346591
9606.ENSP00000347170
9606.ENSP00000352603
9606.ENSP00000243440
9606.ENSP00000344055
9606.ENSP00000364126
9606.ENSP00000325369
9606.ENSP00000353757
9606.ENSP00000250244
9606.ENSP00000371493
9606.ENSP00000299207
9606.ENSP00000357155
9606.ENSP00000263046
9606.ENSP00000316454
9606.ENSP00000286639
9606.ENSP00000363965
9606.ENSP00000216714
9606.ENSP00000369645
9606.ENSP00000300912
9606.ENSP00000291439
9606.ENSP00000267569
9606.ENSP00000008391
9606.ENSP00000201031
9606.ENSP00000336666
9606.ENSP00000363291
9606.ENSP00000255194
9606.ENSP00000306561
-1.CID000000228
CEL9606.ENSP00000360942
9606.ENSP00000352514
9606.ENSP00000361151
-1.CID000002662
MPI9606.ENSP00000318318
9606.ENSP00000342082
-1.CID000078960
RFP9606.ENSP00000266119
9606.ENSP00000366404
9606.ENSP00000340191
9606.ENSP00000332284
-1.CID005381226
ERG9606.ENSP00000262186
9606.ENSP00000357965
9606.ENSP00000288319
-1.CID000005996
UNG9606.ENSP00000242576
-1.CID005288777
NF19606.ENSP00000342859
9606.ENSP00000332655
9606.ENSP00000351015
9606.ENSP00000264826
9606.ENSP00000349002
9606.ENSP00000229304
9606.ENSP00000360233
9606.ENSP00000310897
9606.ENSP00000370324
9606.ENSP00000327627
TTR9606.ENSP00000237014
9606.ENSP00000302630
9606.ENSP00000371786
-1.CID000853608
AFM9606.ENSP00000226355
DPT9606.ENSP00000356791
-1.CID000006091
NMU9606.ENSP00000264218
9606.ENSP00000305877
9606.ENSP00000255262
-1.CID000012001
CA29606.ENSP00000285379
-1.CID006102758
GNS9606.ENSP00000258145
-1.CID000000489
TAT9606.ENSP00000348234
9606.ENSP00000296702
9606.ENSP00000261900
9606.ENSP00000294409
9606.ENSP00000293379
9606.ENSP00000359673
9606.ENSP00000370742
9606.ENSP00000263253
9606.ENSP00000225916
9606.ENSP00000262259
9606.ENSP00000298852
9606.ENSP00000238349
9606.ENSP00000364042
9606.ENSP00000365564
9606.ENSP00000266987
9606.ENSP00000319104
9606.ENSP00000263754
9606.ENSP00000157812
9606.ENSP00000228284
9606.ENSP00000359094
